event_type,proc_bin,proc_args,proc_uid,parent_bin,proc_flags
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,[kworker/0:1H-kblockd],none,0,[kthreadd],procFS
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,9,--deserialize 35 --log-level info --log-target journal-or-kmsg,0,systemd,execve rootcwd clone
0,sa1,/usr/lib/sysstat/sa1 1 1,0,9,execve rootcwd
0,sadc,-F -L -S DISK 1 1 /var/log/sysstat,0,sa1,execve
1,sadc,-F -L -S DISK 1 1 /var/log/sysstat,0,sa1,execve
1,systemd,splash,0,systemd,execve
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,[kthreadd],none,0,[kthreadd],execve
1,[kthreadd],none,0,[kthreadd],execve
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,sh,"-c ""command -v debian-sa1 > /dev/null && debian-sa1 1 1""",0,cron,execve clone
0,debian-sa1,/usr/lib/sysstat/debian-sa1 1 1,0,sh,execve clone
1,debian-sa1,/usr/lib/sysstat/debian-sa1 1 1,0,sh,execve clone
1,sh,"-c ""command -v debian-sa1 > /dev/null && debian-sa1 1 1""",0,cron,execve clone
1,cron,-f -P,0,cron,execve
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,[kthreadd],none,0,[kthreadd],execve
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
0,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
1,tracker-extract-3,--socket-fd 3,1000,tracker-miner-fs-3,execve clone
